Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty
1,1,054.0 056.0,19-4903CR-HY-060-0930-05400560-0000A-3,0,10.5,33.44
1,2,054.0 056.0,19-4903CR-HY-060-0930-05400560-0008A-3,8,10.46,33.44
1,3,054.0 056.0,19-4903CR-HY-060-0930-05400560-0010A-7,10,10.46,33.437
1,4,054.0 056.0,19-4903CR-HY-060-0930-05400560-0019A-3,19,10.45,33.42
1,5,054.0 056.0,19-4903CR-HY-060-0930-05400560-0020A-7,20,10.45,33.421
1,6,054.0 056.0,19-4903CR-HY-060-0930-05400560-0030A-7,30,10.45,33.431
1,7,054.0 056.0,19-4903CR-HY-060-0930-05400560-0039A-3,39,10.45,33.44
1,8,054.0 056.0,19-4903CR-HY-060-0930-05400560-0050A-7,50,10.24,33.424
1,9,054.0 056.0,19-4903CR-HY-060-0930-05400560-0058A-3,58,10.06,33.42
1,10,054.0 056.0,19-4903CR-HY-060-0930-05400560-0075A-7,75,9.86,33.494
1,11,054.0 056.0,19-4903CR-HY-060-0930-05400560-0078A-3,78,9.83,33.51
1,12,054.0 056.0,19-4903CR-HY-060-0930-05400560-0100A-7,100,9.67,33.58
1,13,054.0 056.0,19-4903CR-HY-060-0930-05400560-0117A-3,117,9.5,33.64
1,14,054.0 056.0,19-4903CR-HY-060-0930-05400560-0125A-7,125,9.32,33.689
1,15,054.0 056.0,19-4903CR-HY-060-0930-05400560-0150A-7,150,8.76,33.847
1,16,054.0 056.0,19-4903CR-HY-060-0930-05400560-0152A-3,152,8.71,33.86
1,17,054.0 056.0,19-4903CR-HY-060-0930-05400560-0200A-7,200,8.53,33.876
1,18,054.0 056.0,19-4903CR-HY-060-0930-05400560-0221A-3,221,8.45,33.83
1,19,054.0 056.0,19-4903CR-HY-060-0930-05400560-0250A-7,250,8.26,33.926
1,20,054.0 056.0,19-4903CR-HY-060-0930-05400560-0285A-3,285,7.96,33.98
1,21,054.0 056.0,19-4903CR-HY-060-0930-05400560-0300A-7,300,7.77,33.99
1,22,054.0 056.0,19-4903CR-HY-060-0930-05400560-0373A-3,373,6.8,34.04
1,23,054.0 056.0,19-4903CR-HY-060-0930-05400560-0400A-7,400,6.55,34.056
1,24,054.0 056.0,19-4903CR-HY-060-0930-05400560-0500A-7,500,5.78,34.113
1,25,054.0 056.0,19-4903CR-HY-060-0930-05400560-0598A-3,598,5.3,34.16
1,26,054.0 056.0,19-4903CR-HY-060-0930-05400560-0600A-7,600,5.29,34.161
1,27,054.0 056.0,19-4903CR-HY-060-0930-05400560-0700A-7,700,5.01,34.21
1,28,054.0 056.0,19-4903CR-HY-060-0930-05400560-0800A-7,800,4.72,34.261
1,29,054.0 056.0,19-4903CR-HY-060-0930-05400560-0896A-3,896,4.44,34.31
2,30,052.0 075.0,19-4903CR-HY-060-2112-05200750-0000B-3,0,10.1,32.95
2,31,052.0 075.0,19-4903CR-HY-060-2112-05200750-0010A-3,10,9.89,32.94
2,32,052.0 075.0,19-4903CR-HY-060-2112-05200750-0020A-7,20,9.75,32.939
2,33,052.0 075.0,19-4903CR-HY-060-2112-05200750-0024A-3,24,9.69,32.95
2,34,052.0 075.0,19-4903CR-HY-060-2112-05200750-0030A-7,30,9.52,33.013
2,35,052.0 075.0,19-4903CR-HY-060-2112-05200750-0047A-3,47,9.06,33.24
2,36,052.0 075.0,19-4903CR-HY-060-2112-05200750-0050A-7,50,9.04,33.272
2,37,052.0 075.0,19-4903CR-HY-060-2112-05200750-0071A-3,71,8.92,33.46
2,38,052.0 075.0,19-4903CR-HY-060-2112-05200750-0075A-7,75,8.83,33.488
2,39,052.0 075.0,19-4903CR-HY-060-2112-05200750-0094A-3,94,8.37,33.6
2,40,052.0 075.0,19-4903CR-HY-060-2112-05200750-0100A-7,100,8.26,33.631
2,41,052.0 075.0,19-4903CR-HY-060-2112-05200750-0125A-7,125,7.85,33.745
2,42,052.0 075.0,19-4903CR-HY-060-2112-05200750-0140A-3,140,7.64,33.8
2,43,052.0 075.0,19-4903CR-HY-060-2112-05200750-0150A-7,150,7.5,33.833
2,44,052.0 075.0,19-4903CR-HY-060-2112-05200750-0189A-3,189,6.98,33.93
2,45,052.0 075.0,19-4903CR-HY-060-2112-05200750-0200A-7,200,6.85,33.939
2,46,052.0 075.0,19-4903CR-HY-060-2112-05200750-0250A-7,250,6.32,33.943
2,47,052.0 075.0,19-4903CR-HY-060-2112-05200750-0282A-3,282,6.05,33.95
2,48,052.0 075.0,19-4903CR-HY-060-2112-05200750-0300A-7,300,5.95,33.957
2,49,052.0 075.0,19-4903CR-HY-060-2112-05200750-0379A-3,379,5.6,34
2,50,052.0 075.0,19-4903CR-HY-060-2112-05200750-0400A-7,400,5.5,34.016
2,51,052.0 075.0,19-4903CR-HY-060-2112-05200750-0500A-7,500,5.02,34.101
2,52,052.0 075.0,19-4903CR-HY-060-2112-05200750-0565A-3,565,4.74,34.16
2,53,052.0 075.0,19-4903CR-HY-060-2112-05200750-0600A-7,600,4.62,34.188
2,54,052.0 075.0,19-4903CR-HY-060-2112-05200750-0700A-7,700,4.33,34.259
2,55,052.0 075.0,19-4903CR-HY-060-2112-05200750-0800A-7,800,4.08,34.319
2,56,052.0 075.0,19-4903CR-HY-060-2112-05200750-0840A-3,840,3.99,34.34
2,57,052.0 075.0,19-4903CR-HY-060-2112-05200750-0900A-7,900,3.85,34.354
2,58,052.0 075.0,19-4903CR-HY-060-2112-05200750-1000A-7,1000,3.62,34.378
2,59,052.0 075.0,19-4903CR-HY-060-2112-05200750-1100A-7,1100,3.38,34.403
2,60,052.0 075.0,19-4903CR-HY-060-2112-05200750-1200A-7,1200,3.15,34.429
2,61,052.0 075.0,19-4903CR-HY-060-2112-05200750-1203A-3,1203,3.14,34.43
3,62,051.0 085.0,19-4903CR-HY-061-0354-05100850-0000B-3,0,10.2,32.63
3,63,051.0 085.0,19-4903CR-HY-061-0354-05100850-0010A-3,10,10.05,32.66
3,64,051.0 085.0,19-4903CR-HY-061-0354-05100850-0020A-7,20,9.95,32.66
3,65,051.0 085.0,19-4903CR-HY-061-0354-05100850-0022A-3,22,9.94,32.66
3,66,051.0 085.0,19-4903CR-HY-061-0354-05100850-0030A-7,30,9.92,32.673
3,67,051.0 085.0,19-4903CR-HY-061-0354-05100850-0038A-3,38,9.87,32.68
3,68,051.0 085.0,19-4903CR-HY-061-0354-05100850-0049A-3,49,9.62,32.75
3,69,051.0 085.0,19-4903CR-HY-061-0354-05100850-0050A-7,50,9.66,32.736
3,70,051.0 085.0,19-4903CR-HY-061-0354-05100850-0055A-3,55,9.9,32.66
3,71,051.0 085.0,19-4903CR-HY-061-0354-05100850-0073A-3,73,9.65,32.74
3,72,051.0 085.0,19-4903CR-HY-061-0354-05100850-0075A-7,75,9.62,32.765
3,73,051.0 085.0,19-4903CR-HY-061-0354-05100850-0099A-3,99,9.23,33.12
3,74,051.0 085.0,19-4903CR-HY-061-0354-05100850-0100A-7,100,9.21,33.132
3,75,051.0 085.0,19-4903CR-HY-061-0354-05100850-0125A-7,125,8.79,33.398
3,76,051.0 085.0,19-4903CR-HY-061-0354-05100850-0150A-7,150,8.37,33.605
3,77,051.0 085.0,19-4903CR-HY-061-0354-05100850-0191A-3,191,7.71,33.82
3,78,051.0 085.0,19-4903CR-HY-061-0354-05100850-0200A-7,200,7.58,33.844
3,79,051.0 085.0,19-4903CR-HY-061-0354-05100850-0250A-7,250,6.93,33.926
3,80,051.0 085.0,19-4903CR-HY-061-0354-05100850-0290A-3,290,6.47,33.93
3,81,051.0 085.0,19-4903CR-HY-061-0354-05100850-0300A-7,300,6.37,33.941
3,82,051.0 085.0,19-4903CR-HY-061-0354-05100850-0400A-7,400,5.54,34.041
3,83,051.0 085.0,19-4903CR-HY-061-0354-05100850-0488A-3,488,5.02,34.11
3,84,051.0 085.0,19-4903CR-HY-061-0354-05100850-0500A-7,500,4.97,34.113
3,85,051.0 085.0,19-4903CR-HY-061-0354-05100850-0600A-7,600,4.59,34.135
3,86,051.0 085.0,19-4903CR-HY-061-0354-05100850-0700A-7,700,4.31,34.151
3,87,051.0 085.0,19-4903CR-HY-061-0354-05100850-0789A-3,789,4.14,34.16
3,88,051.0 085.0,19-4903CR-HY-061-0354-05100850-0800A-7,800,4.11,34.169
3,89,051.0 085.0,19-4903CR-HY-061-0354-05100850-0900A-7,900,3.89,34.252
3,90,051.0 085.0,19-4903CR-HY-061-0354-05100850-1000A-7,1000,3.66,34.336
3,91,051.0 085.0,19-4903CR-HY-061-0354-05100850-1100A-7,1100,3.43,34.421
3,92,051.0 085.0,19-4903CR-HY-061-0354-05100850-1134A-3,1134,3.35,34.45
4,93,050.0 095.0,19-4903CR-HY-061-1042-05000950-0000B-3,0,10.4,32.68
4,94,050.0 095.0,19-4903CR-HY-061-1042-05000950-0008A-3,8,10.22,32.7
4,95,050.0 095.0,19-4903CR-HY-061-1042-05000950-0010A-7,10,10.2,32.694
4,96,050.0 095.0,19-4903CR-HY-061-1042-05000950-0019A-3,19,10.14,32.66
4,97,050.0 095.0,19-4903CR-HY-061-1042-05000950-0020A-7,20,10.14,32.657
4,98,050.0 095.0,19-4903CR-HY-061-1042-05000950-0030A-7,30,10.07,32.641
4,99,050.0 095.0,19-4903CR-HY-061-1042-05000950-0040A-3,40,9.97,34.157
4,100,050.0 095.0,19-4903CR-HY-061-1042-05000950-0050A-7,50,9.72,32.699
4,101,050.0 095.0,19-4903CR-HY-061-1042-05000950-0062A-3,62,9.42,32.79
4,102,050.0 095.0,19-4903CR-HY-061-1042-05000950-0075A-7,75,9.32,32.967
4,103,050.0 095.0,19-4903CR-HY-061-1042-05000950-0084A-3,84,9.27,33.1
4,104,050.0 095.0,19-4903CR-HY-061-1042-05000950-0100A-7,100,9.02,33.286
4,105,050.0 095.0,19-4903CR-HY-061-1042-05000950-0125A-7,125,8.6,33.533
4,106,050.0 095.0,19-4903CR-HY-061-1042-05000950-0127A-3,127,8.56,33.55
4,107,050.0 095.0,19-4903CR-HY-061-1042-05000950-0150A-7,150,8.32,33.746
4,108,050.0 095.0,19-4903CR-HY-061-1042-05000950-0164A-3,164,8.18,33.84
4,109,050.0 095.0,19-4903CR-HY-061-1042-05000950-0200A-7,200,7.71,33.863
4,110,050.0 095.0,19-4903CR-HY-061-1042-05000950-0242A-3,242,7.16,33.89
4,111,050.0 095.0,19-4903CR-HY-061-1042-05000950-0250A-7,250,7.08,33.893
4,112,050.0 095.0,19-4903CR-HY-061-1042-05000950-0300A-7,300,6.61,33.91
4,113,050.0 095.0,19-4903CR-HY-061-1042-05000950-0329A-3,329,6.38,33.75
4,114,050.0 095.0,19-4903CR-HY-061-1042-05000950-0400A-7,400,5.79,33.955
4,115,050.0 095.0,19-4903CR-HY-061-1042-05000950-0492A-3,492,5.14,34
4,116,050.0 095.0,19-4903CR-HY-061-1042-05000950-0500A-7,500,5.1,34.01
4,117,050.0 095.0,19-4903CR-HY-061-1042-05000950-0600A-7,600,4.65,34.128
4,118,050.0 095.0,19-4903CR-HY-061-1042-05000950-0700A-7,700,4.31,34.245
4,119,050.0 095.0,19-4903CR-HY-061-1042-05000950-0739A-3,739,4.21,34.29
4,120,050.0 095.0,19-4903CR-HY-061-1042-05000950-0800A-7,800,4.07,34.309
4,121,050.0 095.0,19-4903CR-HY-061-1042-05000950-0900A-7,900,3.83,34.34
4,122,050.0 095.0,19-4903CR-HY-061-1042-05000950-1000A-7,1000,3.59,34.372
4,123,050.0 095.0,19-4903CR-HY-061-1042-05000950-1085A-3,1085,3.39,34.4
5,124,050.0 104.0,19-4903CR-HY-061-1706-05001040-0000B-3,0,10.5,32.75
5,125,050.0 104.0,19-4903CR-HY-061-1706-05001040-0008A-3,8,10.52,32.75
5,126,050.0 104.0,19-4903CR-HY-061-1706-05001040-0010A-7,10,10.51,32.748
5,127,050.0 104.0,19-4903CR-HY-061-1706-05001040-0019A-3,19,10.48,32.74
5,128,050.0 104.0,19-4903CR-HY-061-1706-05001040-0020A-7,20,10.47,32.74
5,129,050.0 104.0,19-4903CR-HY-061-1706-05001040-0030A-7,30,10.34,32.737
5,130,050.0 104.0,19-4903CR-HY-061-1706-05001040-0037A-3,37,10.2,33.5
5,131,050.0 104.0,19-4903CR-HY-061-1706-05001040-0050A-7,50,9.85,32.738
5,132,050.0 104.0,19-4903CR-HY-061-1706-05001040-0055A-3,55,9.7,32.74
5,133,050.0 104.0,19-4903CR-HY-061-1706-05001040-0071A-3,71,9.29,32.74
5,134,050.0 104.0,19-4903CR-HY-061-1706-05001040-0075A-7,75,9.2,32.791
5,135,050.0 104.0,19-4903CR-HY-061-1706-05001040-0100A-3,100,9.35,33.42
5,136,050.0 104.0,19-4903CR-HY-061-1706-05001040-0125A-7,125,8.28,33.565
5,137,050.0 104.0,19-4903CR-HY-061-1706-05001040-0128A-3,128,8.24,33.62
5,138,050.0 104.0,19-4903CR-HY-061-1706-05001040-0150A-7,150,7.95,33.724
5,139,050.0 104.0,19-4903CR-HY-061-1706-05001040-0191A-3,191,7.5,33.78
5,140,050.0 104.0,19-4903CR-HY-061-1706-05001040-0200A-7,200,7.42,33.807
5,141,050.0 104.0,19-4903CR-HY-061-1706-05001040-0250A-7,250,6.98,33.938
5,142,050.0 104.0,19-4903CR-HY-061-1706-05001040-0255A-3,255,6.94,33.95
5,143,050.0 104.0,19-4903CR-HY-061-1706-05001040-0300A-7,300,6.54,33.988
5,144,050.0 104.0,19-4903CR-HY-061-1706-05001040-0380A-3,380,5.86,34
5,145,050.0 104.0,19-4903CR-HY-061-1706-05001040-0400A-7,400,5.77,34.012
5,146,050.0 104.0,19-4903CR-HY-061-1706-05001040-0500A-7,500,5.3,34.075
5,147,050.0 104.0,19-4903CR-HY-061-1706-05001040-0600A-7,600,4.83,34.141
5,148,050.0 104.0,19-4903CR-HY-061-1706-05001040-0700A-7,700,4.36,34.211
5,149,050.0 104.0,19-4903CR-HY-061-1706-05001040-0755A-3,755,4.1,34.25
6,150,049.0 114.0,19-4903CR-HY-062-0036-04901140-0000B-3,0,11.6,32.88
6,151,049.0 114.0,19-4903CR-HY-062-0036-04901140-0009A-3,9,11.69,32.86
6,152,049.0 114.0,19-4903CR-HY-062-0036-04901140-0010A-7,10,11.69,32.86
6,153,049.0 114.0,19-4903CR-HY-062-0036-04901140-0020A-7,20,11.66,32.86
6,154,049.0 114.0,19-4903CR-HY-062-0036-04901140-0023A-3,23,11.64,32.86
6,155,049.0 114.0,19-4903CR-HY-062-0036-04901140-0030A-7,30,11.64,32.863
6,156,049.0 114.0,19-4903CR-HY-062-0036-04901140-0047A-3,47,11.64,32.88
6,157,049.0 114.0,19-4903CR-HY-062-0036-04901140-0050A-7,50,11.61,32.882
6,158,049.0 114.0,19-4903CR-HY-062-0036-04901140-0071A-3,71,11.36,32.9
6,159,049.0 114.0,19-4903CR-HY-062-0036-04901140-0075A-7,75,11.18,32.927
6,160,049.0 114.0,19-4903CR-HY-062-0036-04901140-0094A-3,94,10.2,33.1
6,161,049.0 114.0,19-4903CR-HY-062-0036-04901140-0100A-7,100,9.9,33.165
6,162,049.0 114.0,19-4903CR-HY-062-0036-04901140-0125A-7,125,8.83,33.425
6,163,049.0 114.0,19-4903CR-HY-062-0036-04901140-0141A-3,141,8.29,33.58
6,164,049.0 114.0,19-4903CR-HY-062-0036-04901140-0150A-7,150,8.11,33.638
6,165,049.0 114.0,19-4903CR-HY-062-0036-04901140-0187A-3,187,7.65,33.8
6,166,049.0 114.0,19-4903CR-HY-062-0036-04901140-0200A-7,200,7.5,33.833
6,167,049.0 114.0,19-4903CR-HY-062-0036-04901140-0250A-7,250,6.98,33.916
6,168,049.0 114.0,19-4903CR-HY-062-0036-04901140-0279A-3,279,6.72,33.93
6,169,049.0 114.0,19-4903CR-HY-062-0036-04901140-0300A-7,300,6.54,33.944
6,170,049.0 114.0,19-4903CR-HY-062-0036-04901140-0377A-3,377,5.96,33.98
6,171,049.0 114.0,19-4903CR-HY-062-0036-04901140-0400A-7,400,5.78,33.996
6,172,049.0 114.0,19-4903CR-HY-062-0036-04901140-0500A-7,500,5.09,34.073
6,173,049.0 114.0,19-4903CR-HY-062-0036-04901140-0568A-3,568,4.68,34.13
6,174,049.0 114.0,19-4903CR-HY-062-0036-04901140-0600A-7,600,4.54,34.154
6,175,049.0 114.0,19-4903CR-HY-062-0036-04901140-0700A-7,700,4.17,34.225
6,176,049.0 114.0,19-4903CR-HY-062-0036-04901140-0800A-7,800,3.88,34.286
6,177,049.0 114.0,19-4903CR-HY-062-0036-04901140-0846A-3,846,3.78,34.31
6,178,049.0 114.0,19-4903CR-HY-062-0036-04901140-0900A-7,900,3.67,34.321
6,179,049.0 114.0,19-4903CR-HY-062-0036-04901140-1000A-7,1000,3.48,34.342
6,180,049.0 114.0,19-4903CR-HY-062-0036-04901140-1100A-7,1100,3.28,34.363
6,181,049.0 114.0,19-4903CR-HY-062-0036-04901140-1200A-7,1200,3.08,34.385
6,182,049.0 114.0,19-4903CR-HY-062-0036-04901140-1300A-7,1300,2.88,34.408
6,183,049.0 114.0,19-4903CR-HY-062-0036-04901140-1352A-3,1352,2.78,34.42
7,184,056.7 146.0,19-4903CR-HY-063-0506-05671460-0000B-3,0,12.5,33.17
7,185,056.7 146.0,19-4903CR-HY-063-0506-05671460-0008A-3,8,12.66,33.24
7,186,056.7 146.0,19-4903CR-HY-063-0506-05671460-0010A-7,10,12.66,33.212
7,187,056.7 146.0,19-4903CR-HY-063-0506-05671460-0020A-7,20,12.64,33.057
7,188,056.7 146.0,19-4903CR-HY-063-0506-05671460-0021A-3,21,12.64,33.04
7,189,056.7 146.0,19-4903CR-HY-063-0506-05671460-0030A-7,30,12.64,33.068
7,190,056.7 146.0,19-4903CR-HY-063-0506-05671460-0043A-3,43,12.64,33.17
7,191,056.7 146.0,19-4903CR-HY-063-0506-05671460-0050A-7,50,12.64,33.159
7,192,056.7 146.0,19-4903CR-HY-063-0506-05671460-0065A-3,65,12.63,33.13
7,193,056.7 146.0,19-4903CR-HY-063-0506-05671460-0075A-7,75,12.64,33.158
7,194,056.7 146.0,19-4903CR-HY-063-0506-05671460-0087A-3,87,12.66,33.22
7,195,056.7 146.0,19-4903CR-HY-063-0506-05671460-0100A-7,100,12.52,33.283
7,196,056.7 146.0,19-4903CR-HY-063-0506-05671460-0125A-7,125,11.94,33.383
7,197,056.7 146.0,19-4903CR-HY-063-0506-05671460-0130A-3,130,11.77,33.4
7,198,056.7 146.0,19-4903CR-HY-063-0506-05671460-0150A-7,150,10.84,33.42
7,199,056.7 146.0,19-4903CR-HY-063-0506-05671460-0172A-3,172,9.73,33.44
7,200,056.7 146.0,19-4903CR-HY-063-0506-05671460-0200A-7,200,8.9,33.518
7,201,056.7 146.0,19-4903CR-HY-063-0506-05671460-0250A-7,250,7.75,33.672
7,202,056.7 146.0,19-4903CR-HY-063-0506-05671460-0254A-3,254,8.16,33.86
7,203,056.7 146.0,19-4903CR-HY-063-0506-05671460-0300A-7,300,7.03,33.828
7,204,056.7 146.0,19-4903CR-HY-063-0506-05671460-0341A-3,341,6.76,33.95
7,205,056.7 146.0,19-4903CR-HY-063-0506-05671460-0400A-7,400,6.07,33.932
7,206,056.7 146.0,19-4903CR-HY-063-0506-05671460-0500A-7,500,5.21,33.942
7,207,056.7 146.0,19-4903CR-HY-063-0506-05671460-0514A-3,514,5.12,33.8
7,208,056.7 146.0,19-4903CR-HY-063-0506-05671460-0600A-7,600,4.71,33.996
7,209,056.7 146.0,19-4903CR-HY-063-0506-05671460-0700A-7,700,4.38,34.086
7,210,056.7 146.0,19-4903CR-HY-063-0506-05671460-0747A-3,747,4.28,34.14
7,211,056.7 146.0,19-4903CR-HY-063-0506-05671460-0800A-7,800,4.14,34.166
7,212,056.7 146.0,19-4903CR-HY-063-0506-05671460-0900A-7,900,3.89,34.217
7,213,056.7 146.0,19-4903CR-HY-063-0506-05671460-1000A-7,1000,3.63,34.268
7,214,056.7 146.0,19-4903CR-HY-063-0506-05671460-1100A-7,1100,3.37,34.32
7,215,056.7 146.0,19-4903CR-HY-063-0506-05671460-1200A-7,1200,3.11,34.374
7,216,056.7 146.0,19-4903CR-HY-063-0506-05671460-1212A-3,1212,3.08,34.38
8,217,056.7 136.0,19-4903CR-HY-063-1154-05671360-0000B-3,0,12.2,33.13
8,218,056.7 136.0,19-4903CR-HY-063-1154-05671360-0007A-3,7,12.22,32.92
8,219,056.7 136.0,19-4903CR-HY-063-1154-05671360-0010A-7,10,12.22,32.9
8,220,056.7 136.0,19-4903CR-HY-063-1154-05671360-0019A-3,19,12.23,32.84
8,221,056.7 136.0,19-4903CR-HY-063-1154-05671360-0020A-7,20,12.23,32.842
8,222,056.7 136.0,19-4903CR-HY-063-1154-05671360-0030A-7,30,12.23,32.858
8,223,056.7 136.0,19-4903CR-HY-063-1154-05671360-0037A-3,37,12.23,33.85
8,224,056.7 136.0,19-4903CR-HY-063-1154-05671360-0050A-7,50,12.21,32.891
8,225,056.7 136.0,19-4903CR-HY-063-1154-05671360-0055A-3,55,12.2,32.9
8,226,056.7 136.0,19-4903CR-HY-063-1154-05671360-0074A-3,74,12.24,33.04
8,227,056.7 136.0,19-4903CR-HY-063-1154-05671360-0075A-7,75,12.25,33.042
8,228,056.7 136.0,19-4903CR-HY-063-1154-05671360-0100A-7,100,12.49,33.096
8,229,056.7 136.0,19-4903CR-HY-063-1154-05671360-0111A-3,111,12.6,33.12
8,230,056.7 136.0,19-4903CR-HY-063-1154-05671360-0125A-7,125,11.74,33.164
8,231,056.7 136.0,19-4903CR-HY-063-1154-05671360-0150A-7,150,9.91,33.293
8,232,056.7 136.0,19-4903CR-HY-063-1154-05671360-0151A-3,151,9.83,33.3
8,233,056.7 136.0,19-4903CR-HY-063-1154-05671360-0200A-7,200,8.3,33.66
8,234,056.7 136.0,19-4903CR-HY-063-1154-05671360-0217A-3,217,8.06,33.77
8,235,056.7 136.0,19-4903CR-HY-063-1154-05671360-0250A-7,250,7.61,33.874
8,236,056.7 136.0,19-4903CR-HY-063-1154-05671360-0291A-3,291,7.21,33.93
8,237,056.7 136.0,19-4903CR-HY-063-1154-05671360-0300A-7,300,7.1,33.934
8,238,056.7 136.0,19-4903CR-HY-063-1154-05671360-0400A-7,400,5.93,33.934
8,239,056.7 136.0,19-4903CR-HY-063-1154-05671360-0443A-3,443,5.49,33.91
8,240,056.7 136.0,19-4903CR-HY-063-1154-05671360-0500A-7,500,5.13,33.936
8,241,056.7 136.0,19-4903CR-HY-063-1154-05671360-0600A-7,600,4.67,33.993
8,242,056.7 136.0,19-4903CR-HY-063-1154-05671360-0681A-3,681,4.44,34.05
8,243,056.7 136.0,19-4903CR-HY-063-1154-05671360-0700A-7,700,4.39,34.061
8,244,056.7 136.0,19-4903CR-HY-063-1154-05671360-0800A-7,800,4.11,34.12
8,245,056.7 136.0,19-4903CR-HY-063-1154-05671360-0900A-7,900,3.84,34.179
8,246,056.7 136.0,19-4903CR-HY-063-1154-05671360-1000A-7,1000,3.56,34.24
8,247,056.7 136.0,19-4903CR-HY-063-1154-05671360-1016A-3,1016,3.52,34.25
9,248,058.0 127.0,19-4903CR-HY-063-1742-05801270-0000B-3,0,12,32.97
9,249,058.0 127.0,19-4903CR-HY-063-1742-05801270-0009A-3,9,8.86,32.94
9,250,058.0 127.0,19-4903CR-HY-063-1742-05801270-0010A-7,10,12,32.94
9,251,058.0 127.0,19-4903CR-HY-063-1742-05801270-0020A-7,20,11.99,32.94
9,252,058.0 127.0,19-4903CR-HY-063-1742-05801270-0022A-3,22,11.99,32.94
9,253,058.0 127.0,19-4903CR-HY-063-1742-05801270-0030A-7,30,11.99,32.963
9,254,058.0 127.0,19-4903CR-HY-063-1742-05801270-0044A-3,44,12,33.01
9,255,058.0 127.0,19-4903CR-HY-063-1742-05801270-0050A-7,50,11.95,33
9,256,058.0 127.0,19-4903CR-HY-063-1742-05801270-0067A-3,67,11.7,32.95
9,257,058.0 127.0,19-4903CR-HY-063-1742-05801270-0075A-7,75,11.57,32.983
9,258,058.0 127.0,19-4903CR-HY-063-1742-05801270-0090A-3,90,11.2,33.08
9,259,058.0 127.0,19-4903CR-HY-063-1742-05801270-0100A-7,100,10.67,33.15
